Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,7.896666,7.896666,7.670000,7.750000,5.318548,63252
2002-07-02,7.786666,7.960000,7.626666,7.863333,5.396325,394968
2002-07-03,7.693333,7.750000,7.583333,7.613333,5.224758,118860
2002-07-04,7.610000,7.700000,7.093333,7.393333,5.073781,152052
2002-07-05,7.250000,7.750000,7.250000,7.596666,5.213321,572748
2002-07-08,7.583333,8.230000,7.500000,7.913333,5.430637,483564
2002-07-09,7.916666,8.376666,7.916666,8.286666,5.686841,639048
2002-07-10,8.250000,8.576666,8.096666,8.293333,5.691419,792204
2002-07-11,8.543333,8.543333,8.080000,8.143333,5.588477,469488
2002-07-12,8.476666,8.826666,8.096666,8.696666,5.968211,2768196
2002-07-15,9.000000,9.000000,7.626666,8.313333,5.705142,178728
2002-07-16,8.393333,8.660000,8.083333,8.466666,5.810369,355512
2002-07-17,8.336666,8.750000,8.166666,8.236666,5.652528,163356
2002-07-18,8.250000,8.376666,8.230000,8.310000,5.702857,137208
2002-07-19,8.253333,8.320000,8.083333,8.133333,5.581616,46284
2002-07-22,8.250000,9.166666,7.920000,8.546666,5.865273,1759644
2002-07-23,8.700000,9.626666,8.666666,9.083333,6.233567,2584236
2002-07-24,9.000000,9.416666,8.833333,8.913333,6.116902,1406976
2002-07-25,9.333333,9.416666,8.833333,8.886666,6.098601,435348
2002-07-26,8.916666,8.983333,8.046666,8.270000,5.675406,865536
2002-07-29,8.333333,8.333333,7.430000,7.793333,5.348283,434436
2002-07-30,8.050000,8.050000,7.510000,7.650000,5.249924,202536
2002-07-31,7.250000,8.043333,7.083333,7.903333,5.423773,608328
2002-08-01,7.866666,8.170000,7.583333,7.683333,5.272794,1203144
2002-08-02,7.580000,7.810000,7.466666,7.593333,5.211032,242556
2002-08-05,7.910000,8.210000,7.550000,7.700000,5.284234,306600
2002-08-06,7.746666,7.793333,7.583333,7.650000,5.249924,202560
2002-08-07,7.876666,7.920000,7.793333,7.816666,5.364299,164844
2002-08-08,7.793333,7.970000,7.676666,7.913333,5.430637,1045152
2002-08-09,7.763333,8.153333,7.763333,8.070000,5.538152,136212
2002-08-12,8.376666,8.583333,8.220000,8.346666,5.728018,490296
2002-08-13,8.560000,8.560000,8.386666,8.496666,5.830956,138828
2002-08-14,8.583333,8.583333,8.353333,8.460000,5.805794,331032
2002-08-15,8.460000,8.460000,8.460000,8.460000,5.805794,0
2002-08-16,8.500000,8.500000,8.350000,8.386666,5.755469,64308
2002-08-19,8.403333,8.433333,8.210000,8.246666,5.659391,101016
2002-08-20,8.163333,8.520000,8.020000,8.466666,5.810369,271992
2002-08-21,8.460000,8.660000,8.430000,8.533333,5.856121,161916
2002-08-22,8.500000,8.750000,8.360000,8.453333,5.801220,181440
2002-08-23,8.620000,8.620000,8.420000,8.510000,5.840110,106680
2002-08-26,8.750000,8.863333,8.416666,8.783333,6.027688,460728
2002-08-27,9.166666,9.166666,8.666666,8.800000,6.039125,206232
2002-08-28,8.786666,9.000000,8.786666,8.963333,6.151214,283368
2002-08-29,8.910000,9.166666,8.876666,9.093333,6.240430,224040
2002-08-30,9.250000,10.366666,9.126666,10.016666,6.874080,1030920
2002-09-02,10.000000,10.000000,9.500000,9.630000,6.608725,453576
2002-09-03,9.586666,9.710000,9.503333,9.603333,6.590423,626484
2002-09-04,9.166666,9.910000,9.166666,9.843333,6.755126,216216
2002-09-05,9.986666,10.000000,9.416666,9.476666,6.503498,273816
2002-09-06,9.243333,9.633333,8.516666,9.226666,6.331930,208800
2002-09-09,9.083333,9.250000,9.083333,9.170000,6.293043,108672
2002-09-10,9.170000,9.170000,9.170000,9.170000,6.293043,0
2002-09-11,9.666666,9.666666,9.186666,9.480000,6.505785,91188
2002-09-12,9.493333,9.583333,9.346666,9.466666,6.496634,154992
2002-09-13,9.343333,9.660000,8.750000,9.536666,6.544672,220464
2002-09-16,9.560000,9.653333,9.260000,9.370000,6.430294,124020
2002-09-17,9.393333,9.436666,9.166666,9.266666,6.359381,233868
2002-09-18,9.176666,9.333333,9.166666,9.166666,6.290756,147900
2002-09-19,9.130000,9.166666,9.083333,9.133333,6.267880,85644
2002-09-20,9.083333,9.146666,8.750000,9.076666,6.228990,89376
2002-09-23,8.996666,9.250000,8.850000,9.150000,6.279317,112464
2002-09-24,9.000000,9.326666,8.930000,9.250000,6.347944,154800
2002-09-25,9.166666,9.666666,9.096666,9.513333,6.528660,198624
2002-09-26,9.410000,9.583333,9.333333,9.570000,6.567549,139644
2002-09-27,9.660000,9.666666,9.463333,9.510000,6.526374,219588
2002-09-30,9.376666,10.000000,8.916666,9.283333,6.370819,622188
2002-10-01,9.166666,9.416666,9.000000,9.363333,6.425719,273420
2002-10-02,9.363333,9.363333,9.363333,9.363333,6.425719,0
2002-10-03,9.333333,9.333333,8.920000,8.980000,6.162652,89952
2002-10-04,9.000000,9.000000,8.726666,8.783333,6.027688,198012
2002-10-07,8.843333,8.843333,8.616666,8.636666,5.927034,104004
2002-10-08,8.666666,8.793333,8.583333,8.750000,6.004812,93228
2002-10-09,8.793333,8.793333,8.626666,8.713333,5.979650,169992
2002-10-10,8.670000,8.966666,8.666666,8.836666,6.064287,42144
2002-10-11,8.796666,8.903333,8.633333,8.693333,5.965926,72960
2002-10-14,8.960000,8.993333,8.620000,8.733333,5.993372,103416
2002-10-15,8.733333,8.733333,8.733333,8.733333,5.993372,0
2002-10-16,9.080000,9.166666,8.793333,9.013333,6.185527,189504
2002-10-17,9.160000,9.160000,8.916666,9.076666,6.228990,50244
2002-10-18,9.080000,9.083333,9.010000,9.060000,6.217553,69132
2002-10-21,9.010000,9.093333,8.876666,8.960000,6.148926,78900
2002-10-22,8.880000,9.033333,8.880000,8.926666,6.126053,50184
2002-10-23,9.160000,9.566666,9.000000,9.270000,6.361670,441996
2002-10-24,9.376666,9.376666,9.093333,9.120000,6.258728,174300
2002-10-25,9.243333,9.243333,9.016666,9.070000,6.224416,87372
2002-10-28,9.083333,9.163333,9.043333,9.070000,6.224416,64920
2002-10-29,9.046666,9.083333,8.980000,9.000000,6.176376,49728
2002-10-30,8.993333,9.063333,8.753333,8.766666,6.129765,40596
2002-10-31,8.833333,9.000000,8.750000,8.866666,6.199684,59388
2002-11-01,8.916666,9.060000,8.916666,8.916666,6.234648,520740
2002-11-04,8.983333,9.000000,8.876666,8.950000,6.257953,19512
2002-11-05,8.900000,9.126666,8.880000,9.086666,6.353513,38244
2002-11-06,9.086666,9.086666,9.086666,9.086666,6.353513,0
2002-11-07,9.000000,9.076666,8.886666,8.933333,6.246299,37956
2002-11-08,9.000000,9.043333,8.943333,9.013333,6.302235,37260
2002-11-11,8.916666,9.036666,8.886666,9.003333,6.295244,67224
2002-11-12,8.930000,9.036666,8.930000,9.010000,6.299906,36240
2002-11-13,9.000000,9.026666,8.916666,8.933333,6.246299,103692
2002-11-14,8.893333,8.916666,8.833333,8.846666,6.185699,32712
2002-11-15,8.880000,8.893333,8.793333,8.836666,6.178708,124380
2002-11-18,8.770000,8.833333,8.710000,8.813333,6.162393,79716
2002-11-19,8.813333,8.813333,8.813333,8.813333,6.162393,0
2002-11-20,8.793333,9.333333,8.750000,9.163333,6.407119,331032
2002-11-21,9.333333,9.416666,8.926666,9.043333,6.323213,400596
2002-11-22,9.146666,9.146666,8.853333,8.910000,6.229985,234396
2002-11-25,9.000000,9.000000,8.796666,8.813333,6.162393,62556
2002-11-26,8.893333,8.913333,8.770000,8.810000,6.160063,284580
2002-11-27,9.126666,9.210000,8.770000,8.786666,6.143749,62316
2002-11-28,8.796666,8.913333,8.793333,8.800000,6.153071,26064
2002-11-29,8.916666,8.916666,8.770000,8.810000,6.160063,28632
2002-12-02,8.833333,8.953333,8.796666,8.846666,6.185699,60096
2002-12-03,9.063333,9.063333,8.793333,8.793333,6.148410,54408
2002-12-04,8.833333,8.836666,8.750000,8.793333,6.148410,35688
2002-12-05,8.930000,8.930000,8.750000,8.766666,6.129765,51264
2002-12-06,8.676666,8.833333,8.626666,8.666666,6.059842,130536
2002-12-09,8.583333,8.750000,8.436666,8.510000,5.950301,281688
2002-12-10,8.583333,8.583333,8.250000,8.310000,5.810459,110124
2002-12-11,8.253333,8.333333,8.180000,8.246666,5.766172,59640
2002-12-12,8.260000,8.333333,8.166666,8.270000,5.782489,110448
2002-12-13,8.396666,8.483333,8.250000,8.380000,5.859402,81828
2002-12-16,9.000000,9.076666,8.416666,8.443333,5.903687,43356
2002-12-17,8.460000,8.576666,8.333333,8.376666,5.857070,33600
2002-12-18,8.333333,8.403333,8.020000,8.330000,5.824440,11904
2002-12-19,8.250000,8.333333,8.220000,8.270000,5.782489,23808
2002-12-20,8.333333,8.460000,8.263333,8.363333,5.847747,60372
2002-12-23,8.416666,8.453333,8.296666,8.330000,5.824440,151920
2002-12-24,8.336666,8.400000,8.333333,8.343333,5.833765,35160
2002-12-25,8.343333,8.343333,8.343333,8.343333,5.833765,0
2002-12-26,8.333333,8.333333,8.226666,8.250000,5.768503,89232
2002-12-27,8.333333,8.333333,8.116666,8.130000,5.684599,139452
2002-12-30,8.153333,8.246666,7.676666,7.880000,5.509795,392376
2002-12-31,7.926666,8.050000,7.813333,7.850000,5.488821,118020
2003-01-01,8.000000,8.000000,7.866666,7.886666,5.514457,144408
2003-01-02,8.076666,8.083333,7.876666,7.903333,5.526109,124872
2003-01-03,8.076666,8.083333,7.916666,7.943333,5.554077,98352
2003-01-06,8.083333,8.083333,7.750000,7.900000,5.523780,50388
2003-01-07,7.916666,8.333333,7.916666,8.300000,5.803465,241908
2003-01-08,8.310000,9.166666,8.096666,8.860000,6.195024,360696
2003-01-09,8.993333,9.063333,8.343333,8.383333,5.861732,317220
2003-01-10,8.336666,8.580000,8.333333,8.363333,5.847747,90012
2003-01-13,8.270000,8.583333,8.270000,8.413333,5.882710,48852
2003-01-14,8.416666,8.416666,8.250000,8.333333,5.826770,39048
2003-01-15,8.336666,8.453333,8.250000,8.336666,5.829101,96804
2003-01-16,8.503333,8.916666,8.416666,8.526666,5.961953,98100
